itemCollection_systemStores_MechParts_Rasalhague_Light,,,
mechdef_locust_LCT-1E,MechPart,1,3
mechdef_locust_LCT-1V,MechPart,1,5
mechdef_locust_LCT-3V,MechPart,1,3
mechdef_stinger_STG-3R,MechPart,1,5
mechdef_stinger_STG-3G,MechPart,1,3
mechdef_wasp_WSP-1A,MechPart,1,5
mechdef_wasp_WSP-1K,MechPart,1,3
mechdef_mongoose_MON-67,MechPart,1,2
mechdef_javelin_JVN-10N,MechPart,1,1
mechdef_spider_SDR-5K,MechPart,1,3
mechdef_spider_SDR-5V,MechPart,1,5
mechdef_urbanmech_UM-R60,MechPart,1,2
mechdef_jenner_JR7-D,MechPart,1,5
mechdef_firestarter_FS9-H,MechPart,1,2
mechdef_ostscout_OTT-7J,MechPart,1,2
mechdef_panther_PNT-9R,MechPart,1,5
