itemCollection_systemStores_Mechs_Outworld_Heavy,,,
mechdef_merlin_MLN-1A,Mech,1,5
mechdef_ostroc_OSR-2C,Mech,1,3
mechdef_ostroc_OSR-3C,Mech,1,1
mechdef_ostsol_OTL-4D,Mech,1,3
mechdef_quickdraw_QKD-4G,Mech,1,3
mechdef_quickdraw_QKD-5A,Mech,1,1
mechdef_rifleman_RFL-3N,Mech,1,3
mechdef_bombardier_BMB-10D,Mech,1,1
mechdef_catapult_CPLT-C1,Mech,1,1
mechdef_crusader_CRD-3R,Mech,1,3
mechdef_thunderbolt_TDR-5S,Mech,1,3
mechdef_archer_ARC-2R,Mech,1,3
mechdef_grasshopper_GHR-5H,Mech,1,3
mechdef_guillotine_GLT-4L,Mech,1,1
mechdef_guillotine_GLT-4P,Mech,1,1
mechdef_warhammer_WHM-6R,Mech,1,3
mechdef_orion_ON1-K,Mech,1,3
mechdef_marauder_MAD-3R,Mech,1,1
mechdef_stalker_STK-4P,Mech,1,2
